,artist.name,artist.hotness,Songs,Year,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,latitude,location,longitude,loudness,mode,mode_confidence,release.id,release.name,similar,song.hotness,start_of_fade_out,tatums_confidence,tatums_start,tempo,terms,terms_freq,time_signature,time_signature_confidence,Time
3,Adam Ant,0.454231157,Something Girls,1982,0.017,1.30621,0.809,0.81002,233.40363,0,0.630382334,0,0.751,37.15735675,"London, England",-63.93335787,-9.013,1,0.749,287650,Friend Or Foe,AR4R0741187FB39AF2,,217.124,0.601,0.56254,119.293,pop rock,0.988583863,4,0,80s
4,Gob,0.401723686,Face the Ashes,2007,0.175,1.06368,0.883,0.13576,209.60608,0.066,0.651045661,2,0.092,37.15735675,Not available,-63.93335787,-4.501,1,0.371,611336,Muertos Vivos,ARUA62A1187B99D9B0,0.604500739,198.699,1,0.13576,129.738,pop punk,0.887288301,4,0.562,00s
8,Planet P Project,0.332275747,Pink World,1984,0.806,1.91886,0.44,1.22595,269.81832,5.3,0.426667857,4,0.717,37.15735675,Not available,-63.93335787,-13.496,1,0.652,358182,Pink World,ARWVP631187FB4D016,0.265861049,258.99,0.121,1.22595,86.643,new wave,0.959766246,4,0.487,80s
14,Lionel Richie,0.553071992,Tonight Will Be Alright,1986,0.191,0.82842,1,0.82842,307.3824,0.612,0.776675856,3,0.524,37.15735675,"Beverly Hills, CA",-63.93335787,-8.346,1,0.533,25811,Dancing On The Ceiling,ARVP1TO1187B9A4A7A,,296.658,0.389,0.58901,125.197,quiet storm,1,3,0.211,80s
15,Blue Rodeo,0.447935481,Floating,1987,0.507,1.32118,0,0.30065,491.12771,0,0.636423645,7,1,43.64856,"Toronto, Ontario, Canada",-79.38533,-8.576,1,0.829,135122,Outskirts,ARGCEMX1187B9921A4,0.405115722,486.034,0.377,0.05047,119.826,country rock,1,4,0.756,80s
18,Tesla,0.51346329,Caught In A Dream,2004,0.03,0.8752,1,0.05728,290.29832,0.145,0.707199764,7,0.725,37.15735675,Not available,-63.93335787,-5.271,1,0.756,372309,Gold,ARO353H1187B9A43E9,0.684136191,285.605,0.238,0.05728,150.062,hard rock,1,4,0.931,00s
23,The Dillinger Escape Plan,0.541888972,Setting Fire to Sleeping Giants,2004,0.027,1.06698,0.931,0.33578,207.77751,0.061,0.839962768,7,0.381,40.82624,"Morris Plains, NJ",-74.47995,-4.264,1,0.453,223365,Miss Machine,ARNUJQM1187FB3EE72,0.666527846,204.696,0.654,0.15349,166.862,math-core,0.944381208,4,0,00s
24,SUE THOMPSON,0.306242264,James (Hold The Ladder Steady),1985,0.006,0.70311,0.587,0.26706,124.86485,0,0.435415818,10,0.697,37.83721,"Nevada, MO",-94.35868,-12.332,1,0.541,652784,Sue Thompson - Her Very Best,ARD92TH1187FB57ACD,0.495293621,115.74,1,0.04025,137.522,pop rock,0.979853486,4,0,80s
27,Tim Wilson,0.349912612,I Think My Wife Is Running Around On Me (Taco Hell),2005,0,0.52648,0,0.52648,186.48771,1.083,0.459797129,5,0.762,32.67828,Georgia,-83.22295,-4.516,1,0.539,160881,The Real Twang Thang,AR74HI61187FB5327F,,175.467,0.231,0.07391,90.022,filk,1,1,0.971,00s
28,Willie Bobo,0.379671125,Spanish Grease,1997,0.02,1.01964,1,0.06314,168.25424,0.2,0.588827101,8,0.812,40.79195,"New York, NY [Spanish Harlem]",-73.94512,-9.616,1,0.736,59744,Willie Bobo's Finest Hour,AR1N6N61187FB4E25E,,161.89,0.959,0.06314,127.025,latin jazz,0.965406124,4,0.792,90s
33,Billie Jo Spears,0.384611084,It Makes No Difference Now,1992,0,0.24118,0,0.24118,133.32853,0,0.523714637,4,0.384,30.08615,"Beaumont, TX",-94.10158,-9.983,1,0.402,663761,20 Of Her Best,AR7HM181187FB3CFC1,0,130.009,0.515,0.04851,160.839,classic country,0.984993496,1,0,90s
35,Sierra Maestra,0.392733676,A?DA3nde va Chichi?,1997,0.291,0.76895,0.219,0.09309,313.12934,0,0.501544777,9,0.724,37.15735675,Not available,-63.93335787,-9.512,1,0.364,270281,Tibiri Tabara,AR2HU081187FB5B263,,307.688,0.372,0.09309,189.646,charanga,1,3,0.674,90s
40,Scarlet's Remains,0.393121934,Spin,2007,0.379,0.73465,0.268,0.28881,198.73914,0,0.527865076,7,0.673,34.05349,California - LA,-118.24532,-7.469,1,0.579,709879,The Palest Grey,ARNM1OG1187FB3DE32,0.450992312,193.016,0.461,0.14044,115.061,gothic metal,0.974033549,4,0.731,00s
41,The Suicide Machines,0.467538444,Burning In The Aftermath,2003,0.987,0.90181,0.471,0.38075,95.68608,0,0.668674533,2,0.421,42.33168,"Detroit, MI",-83.04792,-2.022,1,0.589,706005,A Match & Some Gasoline,ARGAFOR11F50C47F57,0.528782481,87.806,0.84,0.12215,115.887,ska punk,1,4,0.744,00s
44,Loudon Wainwright III,0.442765842,Human Cannonball,1995,0.077,1.56662,0.799,0.37554,190.48444,0.258,0.661080168,3,0.544,35.91463,"Chapel Hill, NC",-79.05661,-15.663,1,0.596,28723,Grown Man,ARYXGMM1187B9AC285,0.510119314,177.029,0.537,0.37554,102.428,modern rock,1,4,0.496,90s
45,R.L. Burnside,0.466628889,Glory Be,2004,0.002,0.93659,0.885,0.275,277.78567,0.24,0.701180874,2,0,34.36401,"Oxford, MS",-89.51877,-6.944,1,0,557761,A Bothered Mind,AR3KUCG1187B9A0BEA,0.482137585,267.453,0.963,0.275,89.984,delta blues,0.980350471,4,0,00s
46,Stevie Ray Vaughan,0.544257506,Crossfire,1992,0.008,0.74277,1,0.2077,248.78975,0.183,0.73379894,1,0.754,32.77815,"Dallas, TX",-96.7954,-7.805,1,0.597,417945,Greatest Hits,ARZBUQ41187FB39D29,,246.19,0.867,0.2077,116.721,texas blues,0.999791772,4,0.522,90s
47,John Hammond,0.452817838,I Can't Be Satisfied,2002,0.058,0.32071,0.651,0.32071,195.3171,0,0.590692918,7,0.98,37.15735675,Not available,-63.93335787,-10.7,1,0.753,575531,Bluesman,ARWBYRS1187FB3DE02,,187.617,0.672,0.32071,123.142,blues,1,4,0.678,00s
48,Casiotone For The Painfully Alone,0.394217199,Nashville Parthenon,2006,0.002,0.74575,0.706,0.32409,175.72526,0.734,0.665322162,0,0.522,37.15735675,Not available,-63.93335787,-10.93,1,0.474,234425,Etiquette,AREX9GE1187FB41987,0.785892288,168.699,1,0.11431,141.919,trip hop,0.877629027,4,0.445,00s
49,Ec8or,0.33457736,Cocain Ducks,1995,0.024,0.47086,0,0.47086,217.23383,1.042,0.50407567,10,0.005,52.51607,"Berlin, Germany",13.37698,-9.493,0,0.305,505301,Ec8or,AR3TG3X1187FB4D577,,213.496,0.283,0.15342,95.596,hardcore techno,1,4,1,90s
51,Eliane Elias,0.427914247,The More I See You,2009,0.068,2.90946,0.675,0.14772,251.42812,0.071,0.669726188,7,0.391,-23.56287,"Sao Paulo, Brazil",-46.65466,-12.009,1,0.319,322532,Bossa Nova Stories,ARCXKY91187B9ACA99,0.43483809,237.598,0.228,0.14772,86.091,brazilian jazz,1,5,0.551,00s
52,Lost Boyz,0.412240601,Certain Things We Do,1997,0.267,0.34237,1,0.34237,269.7922,0.218,0.569741152,7,0.715,37.15735675,"South Jamaica, Queens",-63.93335787,-11.043,1,0.614,14592,Love_ Peace & Nappiness,ARE352A1187FB40607,0.405115722,257.416,0.466,0.34237,90.218,gangster rap,1,4,1,90s
55,Chris Rea,0.500691341,Driving Home For Christmas,1986,0.386,0.42366,0,0.0889,241.162,0.549,0.643182773,9,0.222,37.15735675,"Middlesbrough, England",-63.93335787,-8.531,1,0.403,17220,The Road To Hell Part 2,ARFWLXM1187B9B5EE5,0.767727748,230.342,0.587,0.0889,180.149,soft rock,0.961375214,4,0,80s
57,Eurythmics,0.523699078,Tous Les GarASSons Et Les Filles,1985,0.453,8.99358,0.777,2.31778,207.0722,2.583,0.75100762,0,0.442,51.50632,"London, England",-0.12714,-6.629,1,0.371,278999,Be Yourself Tonight,ARGE7G11187FB37E05,0.38293509,202.757,0.516,2.31778,84.164,dance rock,0.947914829,4,0.853,80s
58,Francis Dunnery,0.383524247,Too Much Saturn,1995,0.008,1.1612,0.379,0.67535,300.79955,0,0.54858513,7,0.666,54.48303,"Egremont, Cumbria, England",-3.53444,-13.33,1,0.658,19601,Hometown 2001,ARL2M1Y1187FB3A940,0.610474258,298.347,0.249,0.42142,124.175,singer-songwriter,1,4,0.698,90s
59,John Cale,0.481655862,Movement 4 [from Kiss] (Album Version),1997,0.632,0.02909,0.632,0.02909,228.46649,0,0.749317801,7,0.458,37.15735675,"Garnant, Wales",-63.93335787,-12.412,1,0.602,38599,Eat / Kiss: Music For The Films By Andy Warhol,AR3I2HS1187B9AC3BB,0.226555314,228.466,0.513,0.02909,137.004,experimental rock,1,1,0,90s
62,The Berzerker,0.45755391,Deform (live),2000,0.234,0.38387,0,0.38387,165.61587,2.171,0.668370612,1,0.108,-37.81753,"Melbourne, Australia",144.96715,-6.222,1,0.256,681639,The Berzerker,AR3FOFE1187FB3E18A,0,165.616,0.115,0.21142,174.287,speedcore,0.932857594,3,0.132,00s
63,Kings Of Leon,0.788805935,Wicker Chair,2003,0.109,1.18583,1,0.15226,187.92444,0.328,0.845768866,0,0.612,36.16778,"Nashville, Tennessee",-86.77836,-5.907,1,0.735,449471,Holy Roller Novocaine,AR3KUCG1187B9A0BEA,0.685940227,180.344,0.784,0.15226,116.823,southern rock,1,4,0.347,00s
66,NOFX,0.554291489,Stickin In My Eye,1992,0.081,0.76754,0.644,0.29609,144.50893,0.237,0.778816717,4,0.093,37.15735675,"Berkeley, CA",-63.93335787,-7.787,0,0.423,104765,White Trash ......,ARHJFFY1187B98BA76,0.671236027,140.057,0.829,0.0586,152.622,punk,1,4,0.358,90s
68,Soda Stereo,0.466826993,Entre CanAbales,1990,0.393,1.74155,0.872,0.67947,246.69995,0.322,0.711165787,7,0.161,37.15735675,Not available,-63.93335787,-9.603,1,0.205,509770,CanciA3n Animal,ARL3VGT1187FB40E8E,0.62616576,224.049,0.399,0.42263,112.903,rock,1,4,1,90s
69,Bruce Rowland,0.30045446,Rosemary Recalls,1985,0.066,0.36508,0.948,0.36508,84.03546,0.328,0.443162398,7,0.469,-24.9162,AUSTRALIA,133.39311,-26.266,1,0.591,223779,The Man from Snowy River,ARA1WSX1187B990212,0,75.79,0.386,0.11188,115.642,easy listening,1,4,0.44,80s
70,Xcultures,0.266275286,Sudanese Dance,2000,0.023,1.21595,1,0.25377,273.52771,2.177,0.400433514,1,0.652,37.15735675,Not available,-63.93335787,-6.305,1,0.694,466577,One World One People,AREI7EO1187B98BE33,0.199238262,268.893,0.641,0.25377,125.013,gabba,0.942755424,4,1,00s
72,Heavy D / McGruff,0.36366811,Wanna Be A Player,1997,0.036,0.98426,0.883,0.36334,161.38404,0.165,0.617870116,5,0.665,18.11526,"Jamaica, West Indies",-77.27348,-9.161,0,0.606,423012,Waterbed Hev,ARX1QYS1187B9A1F82,0.237733942,161.384,0.262,0.05327,96.979,pop rap,0.892334368,4,0.895,90s
74,Black Eyed Peas,1.005941966,Let's Get It Started,2004,0.933,1.1904,0.692,0.63902,229.61587,0,0.845601887,11,0.205,37.15735675,"Los Angeles, CA",-63.93335787,-4.882,0,0.332,358442,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,ARV4KO21187FB38008,0.624425493,213.664,0.41,0.36332,105.206,hip hop,1,4,1,00s
75,Nine Inch Nails,0.598458501,Metal,2000,0.018,1.76242,1,0.80838,426.89261,0.286,0.905776889,0,0.05,41.50471,"Cleveland, OH",-81.69074,-12.951,0,0.395,15567,Things Falling Apart,ARC4K2E1187B9B6FDA,0.635536649,399.9,1,0.33137,63.017,industrial metal,0.999945289,4,0.378,00s
79,Smartbomb,0.322485106,Complicate It,2001,0.009,0.64544,1,0.19348,233.27302,0.386,0.562463784,0,0.53,37.15735675,Not available,-63.93335787,-2.658,1,0.501,633532,Yeah.  Well_ Anyway....,ARJ8IIY1187B992734,0,231.178,0.89,0.19348,132.022,melodic hardcore,0.981267204,4,0.782,00s
80,Suburbs,0.335651839,Monde De Fou,2005,0.87,0.302,0.87,0.302,187.24526,0.107,0.481004583,1,0.842,37.15735675,Minnesota,-63.93335787,-4.42,1,0.721,435830,Un Titre de Toune,ARWCDXY1187B989346,0.249065795,178.625,0.598,0.13943,183.92,british pop,0.939709535,1,0.063,00s
84,T.G. Sheppard,0.343281882,You Feel Good All Over,2002,0.635,0.52519,0.635,0.52519,194.11546,0.089,0.449323615,5,1,35.82213,"Humboldt, TN",-88.91599,-15.581,1,0.886,200689,The Very Best Of,ARGIABO1187FB4B3B5,0.382723281,182.729,0.479,0.15887,82.343,country rock,0.998410062,1,0.387,00s
85,Slim Whitman,0.386669092,Indian Love Call,1990,0.52,1.87142,0.431,0.61665,195.91791,0.165,0.51644378,3,0.883,27.94653,"Tampa, FL",-82.45927,-11.98,1,0.735,682725,Country Lovers. Vol. 3,AR0IVGJ1187FB55D61,,192.087,0.444,0.20411,91.487,folk-pop,1,4,0,90s
86,Savage Garden,0.538070295,You Can Still Be Free,1999,0.083,3.56292,0.489,0.22888,118.33424,0,0.728209707,9,0,37.15735675,CA,-63.93335787,-11.215,0,0,287804,Affirmation,ARQM3CJ1187B9B7AD1,,118.334,0.105,0.22888,84.69,easy listening,0.896826245,5,0.678,90s
87,Queens Of The Stone Age,0.552413346,I Never Came,2005,0.002,0.68393,1,0.15338,288.41751,0.113,0.798645179,2,0.08,37.15735675,Not available,-63.93335787,-8.165,1,0.665,220917,Lullabies To Paralyze,ARRP8TZ1187B98DB84,0.725121284,279.179,1,0.15338,115.606,stoner metal,0.920686051,4,0,00s
89,Inspiral Carpets,0.398547535,Commercial Reign,1990,0.02,0.72006,0.779,0.18905,283.76771,0,0.605109702,2,0.823,53.4796,"Manchester, England",-2.24881,-8.7,1,0.69,11305,The Singles,ARPATQ21187B9ACAFC,0.665172241,271.83,1,0.18905,113.677,indie rock,0.99732938,4,1,90s
94,Redman,0.493566843,WKYA (drop),2001,0.058,2.95336,0.579,0.65164,124.18567,0,0.743129776,1,0.074,37.15735675,"Newark, NJ",-63.93335787,-10.296,0,0.492,8552,Malpractice,AR05OJD1187B9B99A6,0.57010593,121.005,0,0.16161,85.008,hip hop,1,5,1,00s
100,Mira,0.345751247,Openbare Weg,2006,0.159,1.66153,0.848,0.96449,177.81506,0.554,0.545110951,4,0.695,37.15735675,"Tallahassee, FL",-63.93335787,-12.004,1,0.673,473710,Openbare Weg,AR9U1SA1187B9940C1,,167.48,0.859,0.61541,85.621,shoegaze,0.893803057,4,0.612,00s
101,Citizen Kaned,0.277561738,President Johnson,2000,0.148,1.59705,0,0.49298,385.33179,3.048,0.483339422,8,0.822,37.15735675,Not available,-63.93335787,-8.37,0,0.503,710902,Tip World Singles 2000,ARZPSGI1187B9994D3,,382.647,0.168,0.07835,108.061,chill-out,0.961490955,4,1,00s
102,The Brooklyn Tabernacle Choir,0.432011947,Lead Me Lord,1995,0.233,0.95031,0,0.38454,324.44036,0,0.559278494,7,0.558,37.15735675,Not available,-63.93335787,-11.829,1,0.718,341940,Praise Him...Live!,ARSA3561187FB58C37,0.405115722,312.239,0,0.38454,216.195,gospel,1,5,1,90s
106,Carl Cox Vs Yousef,0.384184259,I Want You (Forever),1991,0.053,0.6235,1,0.16237,357.82485,0.131,0.541975108,1,0.485,37.15735675,Not available,-63.93335787,-5.701,1,0.427,548374,Dave Pearce Best of the Dance Years 1988 - 1992,ARRYBYF1187FB3929E,0.511254835,353.785,1,0.16237,130.016,tech house,0.947705021,5,1,90s
107,Organized Konfusion,0.412671631,Hate,1997,0.005,0.41054,1,0.0684,198.3473,0.201,0.683719468,11,0.306,37.15735675,"SPRINGFIELD, Virginia",-63.93335787,-8.709,0,0.22,704183,The Equinox,ARM2EJV1187B98EA13,0.460484845,182.184,0.603,0.0684,175.769,hip hop,1,4,0.7,90s
108,Martina McBride,0.628246419,I Can't Stop Loving You,2005,0.082,0.2688,0.871,0.2688,261.95546,0,0.614870934,7,0.96,37.15735675,"Medicine Lodge, KS",-63.93335787,-13.627,1,0.634,307618,Timeless,ARMH4YI1187FB3F45E,0.488289876,253.452,0.799,0.2688,100.194,country,0.939349522,3,1,00s
109,Horace Andy,0.374271174,Thank You Lord,1985,0.025,0.87289,1,0.4435,176.27383,0.183,0.626436382,2,0.171,18.01571,"Kingston, Jamaica",-76.79731,-11.479,1,0.239,784530,Feel Good All Over: Anthology 1970-1976,ARABKKO11F50C4D0A5,,166.911,1,0.23251,151.911,roots reggae,1,4,0.231,80s
115,Boyz II Men,0.601184942,On Bended Knee,1994,0.666,1.00904,0.853,0.49144,329.27302,0.45,0.790922848,8,0.497,37.15735675,"Philadelphia, PA",-63.93335787,-7.103,1,0.491,523481,Legacy,ARL6HUT1187FB4D9C2,0.345802234,322.101,0.94,0.23264,116.473,new jack swing,1,4,1,90s
119,Les Ogres De Barback,0.437964733,Niev nietch nievitch,1999,0.812,0.49594,0.812,0.49594,254.06649,0.43,0.652367864,4,0.446,37.15735675,Not available,-63.93335787,-6.01,0,0.383,421962,Irfan_ le hA(c)ros,AR7VA9B1187B99CFFF,0.394394856,249.562,0.875,0.24195,137.888,chanson,1,1,0,90s
123,Wolfmother,0.566971566,White Feather,2009,0.08,1.31008,0,0.22523,212.37506,0.868,0.79225559,4,0.372,37.15735675,"Sydney, Australia",-63.93335787,-5.931,0,0.207,722546,White Feather,AR6G4V01187B9AD086,,209.438,0.895,0.08957,110.745,stoner metal,0.999931453,4,1,00s
124,The Roches,0.372251208,Christlike Roche,1995,0.816,1.06691,0.065,0.59466,338.33751,0,0.573605491,2,0.626,37.15735675,New York City,-63.93335787,-14.248,0,0.575,46647,Can We Go Home Now,ARYXGMM1187B9AC285,0.265861049,328.986,0.065,0.59466,130.027,singer-songwriter,1,4,0.509,90s
127,Jupiter Rising,0.363177861,They Say (Album),2007,0.058,0.62823,0.535,0.62823,193.4624,2.717,0.662649695,0,0.373,37.15735675,Not available,-63.93335787,-5.913,0,0.548,128198,Electropop,ARTDQRC1187FB4EFD4,0.215080319,184.274,0.218,0.62823,119.979,pop rap,1,4,1,00s
129,Saafir,0.318902078,Crawl Before You Ball (Album Version),1999,0.026,0.61434,0.768,0.29768,234.762,0.101,0.594779904,5,0.172,37.15735675,Not available,-63.93335787,-6.019,1,0.026,762520,The Hit List,ARV4KO21187FB38008,,227.84,0.578,0.13935,188.886,hip hop,1,4,1,90s
130,The Verve Pipe,0.498395338,Medicate Myself,2001,0.016,0.65257,0,0.20769,292.8322,3.344,0.70334944,9,0.295,42.73383,"Lansing, MI",-84.59334,-4.953,1,0.196,293668,Underneath,AR94SFV1187FB4DA2C,0.466304831,273.589,0.105,0.20769,133.306,post-grunge,1,4,0.338,00s
131,Bob Neuwirth,0.301502462,Biding Her Time,1990,0.178,0.92398,0.618,0.92398,241.10975,2.659,0.434272038,4,0.965,40.71455,New York,-74.00712,-18.114,1,0.744,117983,99 Monkeys,ARYXAJN1187FB40F84,0.480610618,230.429,0.618,0.92398,152.267,singer-songwriter,1,3,1,90s
136,Cama,0.273453727,In This Life,2009,0.718,0.27702,0.718,0.27702,210.36363,0.364,0.406187449,1,0.645,37.15735675,Not available,-63.93335787,-5.904,0,0.683,329135,In this Life,ARCDQS71187FB403FA,,201.497,0.772,0.08387,155.074,los angeles,0.845881025,1,0,00s
137,Maxi Priest,0.446890727,Groovin' In The Midnight,1991,0,0.03212,0,0.03212,301.81832,2.566,0.661001337,10,0.683,54.31392,Great Britain / UK,-2.23218,-8.095,0,0.549,276924,Best Of Maxi Priest,AR1F7A61187B99F6EA,0.345802234,289.332,0.124,0.03212,61.971,lovers rock,0.908228194,1,0.397,90s
